Year,Equity_Capital,Reserves,Borrowings,Other_Liabilities,Total_Liabilities,Fixed_Assets,CWIP,Investments,Other_Assets,Total_Assets
FY2015,96,2721,18,3251,6086,2898,231,1325,1633,6086
FY2016,96,3186,33,3495,6810,2730,188,1756,2136,6810
FY2017,96,3324,35,3907,7363,2616,94,1979,2673,7363
FY2018,96,3577,35,4379,8088,2401,105,2658,2924,8088
FY2019,96,1822,189,5065,7173,2341,143,1751,2937,7173
FY2020,96,1923,147,5733,7900,2179,639,1464,3618,7900
FY2021,96,1850,266,6021,8234,2995,246,774,4219,8234
FY2022,96,2363,271,6249,8979,3044,358,778,4799,8979
FY2023,96,2363,271,6249,8979,3044,358,778,4799,8979
FY2024_15M,96,3244,345,6838,10523,3460,1742,464,4857,10523
FY2025,96,4021,1167,7040,12324,5474,1173,706,4972,12324
FY2026,193,5116,444,7604,13357,6290,507,706,5854,13357
